state,gender,education,age,n
Hessen,male,5,6,108460
Hessen,male,5,7,71640
Hessen,male,5,8,25790
Mecklenburg-Vorpommern,female,-1,1,0
Mecklenburg-Vorpommern,female,-1,2,0
Mecklenburg-Vorpommern,female,-1,3,0
Mecklenburg-Vorpommern,female,-1,4,0
Mecklenburg-Vorpommern,female,-1,5,0
Mecklenburg-Vorpommern,female,-1,6,0
Mecklenburg-Vorpommern,female,-1,7,0
Mecklenburg-Vorpommern,female,-1,8,0
Mecklenburg-Vorpommern,female,0,1,0
Mecklenburg-Vorpommern,female,0,2,0
Mecklenburg-Vorpommern,female,0,3,0
Mecklenburg-Vorpommern,female,0,4,0
Mecklenburg-Vorpommern,female,0,5,0
Mecklenburg-Vorpommern,female,0,6,0
Mecklenburg-Vorpommern,female,0,7,0
Mecklenburg-Vorpommern,female,0,8,0
Mecklenburg-Vorpommern,female,2,1,22410
Mecklenburg-Vorpommern,female,2,2,14020
Mecklenburg-Vorpommern,female,2,3,5770
Mecklenburg-Vorpommern,female,2,4,7130
Mecklenburg-Vorpommern,female,2,5,10470
Mecklenburg-Vorpommern,female,2,6,11300
Mecklenburg-Vorpommern,female,2,7,32360
Mecklenburg-Vorpommern,female,2,8,24090
Mecklenburg-Vorpommern,female,4,1,2490
Mecklenburg-Vorpommern,female,4,2,65500
Mecklenburg-Vorpommern,female,4,3,51190
Mecklenburg-Vorpommern,female,4,4,75470
Mecklenburg-Vorpommern,female,4,5,78450
Mecklenburg-Vorpommern,female,4,6,49910
Mecklenburg-Vorpommern,female,4,7,49120
Mecklenburg-Vorpommern,female,4,8,18190
Mecklenburg-Vorpommern,female,5,1,210
Mecklenburg-Vorpommern,female,5,2,16190
Mecklenburg-Vorpommern,female,5,3,23650
Mecklenburg-Vorpommern,female,5,4,44240
Mecklenburg-Vorpommern,female,5,5,49520
Mecklenburg-Vorpommern,female,5,6,32640
Mecklenburg-Vorpommern,female,5,7,23230
Mecklenburg-Vorpommern,female,5,8,5150
Mecklenburg-Vorpommern,male,-1,1,0
Mecklenburg-Vorpommern,male,-1,2,0
Mecklenburg-Vorpommern,male,-1,3,0
Mecklenburg-Vorpommern,male,-1,4,0
Mecklenburg-Vorpommern,male,-1,5,0
Mecklenburg-Vorpommern,male,-1,6,0
Mecklenburg-Vorpommern,male,-1,7,0
Mecklenburg-Vorpommern,male,-1,8,0
Mecklenburg-Vorpommern,male,0,1,0
Mecklenburg-Vorpommern,male,0,2,0
Mecklenburg-Vorpommern,male,0,3,0
Mecklenburg-Vorpommern,male,0,4,0
Mecklenburg-Vorpommern,male,0,5,0
