state,gender,education,age,n,incidence_rate,case_fatality_ratio,sub_national_hdi,health_index,income_index,educational_index
Brandenburg,male,5,7,52130,135.67327264396076,4.988262910798122,0.914,0.936,0.879,0.927
Brandenburg,male,5,8,14750,135.67327264396076,4.988262910798122,0.914,0.936,0.879,0.927
Bremen,female,2,1,13320,242.46470645079108,2.9589371980676327,0.951,0.926,0.964,0.965
Bremen,female,2,2,9920,242.46470645079108,2.9589371980676327,0.951,0.926,0.964,0.965
Bremen,female,2,3,7840,242.46470645079108,2.9589371980676327,0.951,0.926,0.964,0.965
Bremen,female,2,4,10270,242.46470645079108,2.9589371980676327,0.951,0.926,0.964,0.965
Bremen,female,2,5,10930,242.46470645079108,2.9589371980676327,0.951,0.926,0.964,0.965
Bremen,female,2,6,11160,242.46470645079108,2.9589371980676327,0.951,0.926,0.964,0.965
Bremen,female,2,7,16830,242.46470645079108,2.9589371980676327,0.951,0.926,0.964,0.965
Bremen,female,2,8,12500,242.46470645079108,2.9589371980676327,0.951,0.926,0.964,0.965
Bremen,female,4,1,1040,242.46470645079108,2.9589371980676327,0.951,0.926,0.964,0.965
Bremen,female,4,2,24870,242.46470645079108,2.9589371980676327,0.951,0.926,0.964,0.965
Bremen,female,4,3,17740,242.46470645079108,2.9589371980676327,0.951,0.926,0.964,0.965
Bremen,female,4,4,25220,242.46470645079108,2.9589371980676327,0.951,0.926,0.964,0.965
Bremen,female,4,5,21030,242.46470645079108,2.9589371980676327,0.951,0.926,0.964,0.965
Bremen,female,4,6,19330,242.46470645079108,2.9589371980676327,0.951,0.926,0.964,0.965
Bremen,female,4,7,17440,242.46470645079108,2.9589371980676327,0.951,0.926,0.964,0.965
Bremen,female,4,8,8570,242.46470645079108,2.9589371980676327,0.951,0.926,0.964,0.965
Bremen,female,5,1,100,242.46470645079108,2.9589371980676327,0.951,0.926,0.964,0.965
Bremen,female,5,2,10290,242.46470645079108,2.9589371980676327,0.951,0.926,0.964,0.965
Bremen,female,5,3,13420,242.46470645079108,2.9589371980676327,0.951,0.926,0.964,0.965
Bremen,female,5,4,14470,242.46470645079108,2.9589371980676327,0.951,0.926,0.964,0.965
Bremen,female,5,5,12780,242.46470645079108,2.9589371980676327,0.951,0.926,0.964,0.965
Bremen,female,5,6,7950,242.46470645079108,2.9589371980676327,0.951,0.926,0.964,0.965
Bremen,female,5,7,4020,242.46470645079108,2.9589371980676327,0.951,0.926,0.964,0.965
Bremen,female,5,8,2570,242.46470645079108,2.9589371980676327,0.951,0.926,0.964,0.965
Bremen,male,2,1,14090,242.46470645079108,2.9589371980676327,0.951,0.926,0.964,0.965
Bremen,male,2,2,11530,242.46470645079108,2.9589371980676327,0.951,0.926,0.964,0.965
Bremen,male,2,3,7930,242.46470645079108,2.9589371980676327,0.951,0.926,0.964,0.965
Bremen,male,2,4,8570,242.46470645079108,2.9589371980676327,0.951,0.926,0.964,0.965
Bremen,male,2,5,6250,242.46470645079108,2.9589371980676327,0.951,0.926,0.964,0.965
Bremen,male,2,6,5590,242.46470645079108,2.9589371980676327,0.951,0.926,0.964,0.965
Bremen,male,2,7,4990,242.46470645079108,2.9589371980676327,0.951,0.926,0.964,0.965
Bremen,male,2,8,1790,242.46470645079108,2.9589371980676327,0.951,0.926,0.964,0.965
Bremen,male,4,1,720,242.46470645079108,2.9589371980676327,0.951,0.926,0.964,0.965
Bremen,male,4,2,26880,242.46470645079108,2.9589371980676327,0.951,0.926,0.964,0.965
Bremen,male,4,3,20540,242.46470645079108,2.9589371980676327,0.951,0.926,0.964,0.965
Bremen,male,4,4,26730,242.46470645079108,2.9589371980676327,0.951,0.926,0.964,0.965
Bremen,male,4,5,22070,242.46470645079108,2.9589371980676327,0.951,0.926,0.964,0.965
Bremen,male,4,6,18000,242.46470645079108,2.9589371980676327,0.951,0.926,0.964,0.965
Bremen,male,4,7,17780,242.46470645079108,2.9589371980676327,0.951,0.926,0.964,0.965
Bremen,male,4,8,5840,242.46470645079108,2.9589371980676327,0.951,0.926,0.964,0.965
Bremen,male,5,1,60,242.46470645079108,2.9589371980676327,0.951,0.926,0.964,0.965
Bremen,male,5,2,7790,242.46470645079108,2.9589371980676327,0.951,0.926,0.964,0.965
Bremen,male,5,3,12610,242.46470645079108,2.9589371980676327,0.951,0.926,0.964,0.965
Bremen,male,5,4,15660,242.46470645079108,2.9589371980676327,0.951,0.926,0.964,0.965
Bremen,male,5,5,13940,242.46470645079108,2.9589371980676327,0.951,0.926,0.964,0.965
Bremen,male,5,6,12000,242.46470645079108,2.9589371980676327,0.951,0.926,0.964,0.965
Bremen,male,5,7,6460,242.46470645079108,2.9589371980676327,0.951,0.926,0.964,0.965
Bremen,male,5,8,3230,242.46470645079108,2.9589371980676327,0.951,0.926,0.964,0.965
Hamburg,female,2,1,31160,281.01558838114056,5.005798221878624,0.975,0.943,1,0.983
Hamburg,female,2,2,20070,281.01558838114056,5.005798221878624,0.975,0.943,1,0.983
Hamburg,female,2,3,18050,281.01558838114056,5.005798221878624,0.975,0.943,1,0.983
Hamburg,female,2,4,22220,281.01558838114056,5.005798221878624,0.975,0.943,1,0.983
Hamburg,female,2,5,20000,281.01558838114056,5.005798221878624,0.975,0.943,1,0.983
Hamburg,female,2,6,21080,281.01558838114056,5.005798221878624,0.975,0.943,1,0.983
Hamburg,female,2,7,28890,281.01558838114056,5.005798221878624,0.975,0.943,1,0.983
Hamburg,female,2,8,24410,281.01558838114056,5.005798221878624,0.975,0.943,1,0.983
Hamburg,female,4,1,4480,281.01558838114056,5.005798221878624,0.975,0.943,1,0.983
Hamburg,female,4,2,73180,281.01558838114056,5.005798221878624,0.975,0.943,1,0.983
Hamburg,female,4,3,49860,281.01558838114056,5.005798221878624,0.975,0.943,1,0.983
Hamburg,female,4,4,61320,281.01558838114056,5.005798221878624,0.975,0.943,1,0.983
Hamburg,female,4,5,49670,281.01558838114056,5.005798221878624,0.975,0.943,1,0.983
Hamburg,female,4,6,48990,281.01558838114056,5.005798221878624,0.975,0.943,1,0.983
Hamburg,female,4,7,46070,281.01558838114056,5.005798221878624,0.975,0.943,1,0.983
Hamburg,female,4,8,24740,281.01558838114056,5.005798221878624,0.975,0.943,1,0.983
Hamburg,female,5,1,190,281.01558838114056,5.005798221878624,0.975,0.943,1,0.983
Hamburg,female,5,2,35110,281.01558838114056,5.005798221878624,0.975,0.943,1,0.983
Hamburg,female,5,3,58290,281.01558838114056,5.005798221878624,0.975,0.943,1,0.983
Hamburg,female,5,4,52700,281.01558838114056,5.005798221878624,0.975,0.943,1,0.983
Hamburg,female,5,5,37400,281.01558838114056,5.005798221878624,0.975,0.943,1,0.983
Hamburg,female,5,6,21320,281.01558838114056,5.005798221878624,0.975,0.943,1,0.983
Hamburg,female,5,7,12460,281.01558838114056,5.005798221878624,0.975,0.943,1,0.983
Hamburg,female,5,8,6190,281.01558838114056,5.005798221878624,0.975,0.943,1,0.983
Hamburg,male,2,1,34430,281.01558838114056,5.005798221878624,0.975,0.943,1,0.983
Hamburg,male,2,2,22540,281.01558838114056,5.005798221878624,0.975,0.943,1,0.983
Hamburg,male,2,3,19760,281.01558838114056,5.005798221878624,0.975,0.943,1,0.983
Hamburg,male,2,4,19940,281.01558838114056,5.005798221878624,0.975,0.943,1,0.983
Hamburg,male,2,5,16840,281.01558838114056,5.005798221878624,0.975,0.943,1,0.983
Hamburg,male,2,6,12770,281.01558838114056,5.005798221878624,0.975,0.943,1,0.983
Hamburg,male,2,7,10780,281.01558838114056,5.005798221878624,0.975,0.943,1,0.983
Hamburg,male,2,8,4080,281.01558838114056,5.005798221878624,0.975,0.943,1,0.983
Hamburg,male,4,1,3590,281.01558838114056,5.005798221878624,0.975,0.943,1,0.983
Hamburg,male,4,2,66970,281.01558838114056,5.005798221878624,0.975,0.943,1,0.983
Hamburg,male,4,3,58470,281.01558838114056,5.005798221878624,0.975,0.943,1,0.983
Hamburg,male,4,4,67570,281.01558838114056,5.005798221878624,0.975,0.943,1,0.983
Hamburg,male,4,5,46820,281.01558838114056,5.005798221878624,0.975,0.943,1,0.983
Hamburg,male,4,6,43490,281.01558838114056,5.005798221878624,0.975,0.943,1,0.983
Hamburg,male,4,7,38290,281.01558838114056,5.005798221878624,0.975,0.943,1,0.983
Hamburg,male,4,8,14450,281.01558838114056,5.005798221878624,0.975,0.943,1,0.983
Hamburg,male,5,1,20,281.01558838114056,5.005798221878624,0.975,0.943,1,0.983
Hamburg,male,5,2,22040,281.01558838114056,5.005798221878624,0.975,0.943,1,0.983
Hamburg,male,5,3,51740,281.01558838114056,5.005798221878624,0.975,0.943,1,0.983
Hamburg,male,5,4,54830,281.01558838114056,5.005798221878624,0.975,0.943,1,0.983
Hamburg,male,5,5,37720,281.01558838114056,5.005798221878624,0.975,0.943,1,0.983
Hamburg,male,5,6,29120,281.01558838114056,5.005798221878624,0.975,0.943,1,0.983
Hamburg,male,5,7,19410,281.01558838114056,5.005798221878624,0.975,0.943,1,0.983
Hamburg,male,5,8,6880,281.01558838114056,5.005798221878624,0.975,0.943,1,0.983
Hessen,female,2,1,138310,169.37956455423395,4.720625647790445,0.949,0.949,0.95,0.947
Hessen,female,2,2,63330,169.37956455423395,4.720625647790445,0.949,0.949,0.95,0.947
Hessen,female,2,3,61360,169.37956455423395,4.720625647790445,0.949,0.949,0.95,0.947
