state,gender,age,education,eher mehr,eher weniger,kein großer Unterschied,cohesion_c,n,incidence_rate,case_fatality_ratio,sub_national_hdi,health_index,income_index,educational_index
Hessen,female,6,5,0,0,2,0,2,169.37956455423395,4.720625647790445,0.949,0.949,0.95,0.947
Hessen,female,7,2,2,2,1,2,5,169.37956455423395,4.720625647790445,0.949,0.949,0.95,0.947
Hessen,female,7,4,0,0,1,0,1,169.37956455423395,4.720625647790445,0.949,0.949,0.95,0.947
Hessen,female,7,5,1,1,0,1,2,169.37956455423395,4.720625647790445,0.949,0.949,0.95,0.947
Hessen,female,8,2,0,0,1,0,1,169.37956455423395,4.720625647790445,0.949,0.949,0.95,0.947
Hessen,male,1,4,1,0,0,1,1,169.37956455423395,4.720625647790445,0.949,0.949,0.95,0.947
Hessen,male,2,2,1,1,0,1,2,169.37956455423395,4.720625647790445,0.949,0.949,0.95,0.947
Hessen,male,2,4,0,0,2,0,2,169.37956455423395,4.720625647790445,0.949,0.949,0.95,0.947
Hessen,male,2,5,0,1,0,0,1,169.37956455423395,4.720625647790445,0.949,0.949,0.95,0.947
Hessen,male,3,2,0,0,2,0,2,169.37956455423395,4.720625647790445,0.949,0.949,0.95,0.947
Hessen,male,3,4,1,0,1,1,2,169.37956455423395,4.720625647790445,0.949,0.949,0.95,0.947
Hessen,male,4,2,0,0,3,0,3,169.37956455423395,4.720625647790445,0.949,0.949,0.95,0.947
Hessen,male,4,5,3,3,3,3,9,169.37956455423395,4.720625647790445,0.949,0.949,0.95,0.947
Hessen,male,5,2,0,0,2,0,2,169.37956455423395,4.720625647790445,0.949,0.949,0.95,0.947
Hessen,male,5,4,0,0,2,0,2,169.37956455423395,4.720625647790445,0.949,0.949,0.95,0.947
Hessen,male,5,5,1,1,4,1,6,169.37956455423395,4.720625647790445,0.949,0.949,0.95,0.947
Hessen,male,6,2,2,1,2,2,5,169.37956455423395,4.720625647790445,0.949,0.949,0.95,0.947
Hessen,male,6,4,1,0,2,1,3,169.37956455423395,4.720625647790445,0.949,0.949,0.95,0.947
Hessen,male,6,5,2,0,1,2,3,169.37956455423395,4.720625647790445,0.949,0.949,0.95,0.947
Hessen,male,7,2,4,2,3,4,9,169.37956455423395,4.720625647790445,0.949,0.949,0.95,0.947
Hessen,male,7,5,4,0,2,4,6,169.37956455423395,4.720625647790445,0.949,0.949,0.95,0.947
Hessen,male,8,2,0,0,2,0,2,169.37956455423395,4.720625647790445,0.949,0.949,0.95,0.947
Hessen,male,8,5,1,1,1,1,3,169.37956455423395,4.720625647790445,0.949,0.949,0.95,0.947
Mecklenburg-Vorpommern,female,1,5,0,1,0,0,1,49.32672744498113,2.5188916876574305,0.91,0.926,0.869,0.936
Mecklenburg-Vorpommern,female,3,2,0,0,1,0,1,49.32672744498113,2.5188916876574305,0.91,0.926,0.869,0.936
